,num_calls,num_points
0,7,7
1,23,23
2,21,21
3,32,32
4,28,28
5,25,25
6,29,29
7,29,29
8,21,21
9,23,23
10,29,29
11,19,19
12,28,28
13,27,27
14,21,21
15,33,33
16,24,24
17,29,29
18,26,26
19,23,23
20,25,25
21,29,29
22,27,27
23,25,25
24,40,40
25,19,19
26,40,40
27,25,25
28,24,24
29,23,23
30,25,25
31,28,28
32,24,24
