,num_calls,num_points
0,69,69
1,45,45
2,3,3
3,3,3
4,54,54
5,50,50
6,22,22
7,27,27
8,32,32
9,39,39
10,50,50
11,64,64
12,52,52
13,79,79
14,39,39
15,16,16
16,38,38
17,47,47
18,100,100
19,57,57
20,41,41
21,41,41
22,31,31
23,34,34
24,12,12
25,56,56
26,55,55
27,55,55
28,39,39
29,81,81
30,42,42
31,37,37
32,32,32
33,30,30
34,49,49
35,51,51
36,55,55
37,13,13
38,40,40
39,38,38
40,25,25
41,78,78
42,29,29
43,37,37
44,26,26
45,51,51
46,39,39
47,49,49
48,14,14
49,61,61
